Month,2016,2017,2018,2019,2020,2021,2022
1,1224,1242,1431,1405,1525,1916,1459
2,1266,1246,1424,1492,1538,1858,1531
3,1461,1489,1592,1641,1484,2040,1817
4,1369,1206,1508,1487,975,1900,1734
5,1360,1393,1169,1526,1196,2076,
6,1471,1497,1791,1540,1545,2049,
7,1374,1426,1641,1538,1730,1860,
8,1464,1541,1716,1616,1750,1834,
9,1455,1533,1648,1593,1865,1792,
10,1372,1459,1613,1640,1906,1650,
11,1345,1427,1548,1605,1811,1588,
12,1245,1406,1387,1410,1802,1386,
