Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
3/24/2016,4.840165615,3.426528454,10.53903294,1.555062652,6.056803703,
3/28/2016,5.010138512,3.519346714,10.62306595,1.580555558,6.06457901,
3/29/2016,4.921105862,3.403324842,10.56704521,1.546565056,5.753575802,
3/30/2016,5.455303669,3.774596453,10.88216591,1.555062652,5.792450905,
3/31/2016,5.293426037,3.735921621,10.60906029,1.538067341,5.543647766,
4/1/2016,5.698122025,3.913822651,10.86115837,1.521072268,5.714699745,
4/4/2016,5.212486744,3.542550325,10.35696507,1.40210557,5.40369463,
4/5/2016,5.277238846,3.666308641,10.70709705,1.359617591,5.909076691,
4/6/2016,5.074890137,3.542550325,10.5530386,1.232153416,5.971277714,
4/7/2016,4.969669342,3.449733257,10.51102352,1.249148607,5.901301861,
4/8/2016,5.511962414,3.790065765,11.37235165,1.427598476,6.414458275,
4/11/2016,5.86000061,4.022110939,11.88354778,1.521072268,6.989816189,
4/12/2016,6.256603241,4.207746506,13.12302303,1.691024423,8.381559372,
4/13/2016,6.742239475,4.555813789,13.70424557,1.886469007,10.10763264,
4/14/2016,6.046160221,4.207746506,12.74487782,1.699522018,8.910264969,
4/15/2016,6.353730202,4.377913952,13.02498531,1.784497976,9.267921448,
4/18/2016,5.989503384,4.17680645,13.3401041,1.759005189,9.4078722,
4/19/2016,6.5479846,4.470729828,14.32748508,1.945952535,10.34088516,
4/20/2016,6.5884552,4.532608509,15.23783112,2.132899761,10.62078857,
4/22/2016,6.28088522,4.323768616,13.53618145,2.209378719,10.41863537,
4/25/2016,5.868093967,3.960231543,12.6468401,1.979943156,9.462299347,
4/26/2016,6.208039284,4.230950356,13.08800983,2.039426565,9.563373566,
4/27/2016,6.5479846,4.478464603,13.62021255,2.192383051,10.0687561,
4/28/2016,6.28088522,4.331503391,13.85830402,2.09041214,10.07653141,
4/29/2016,6.321354389,4.377913952,13.78827858,2.124402285,10.21648216,
5/2/2016,6.143288136,4.192276478,13.91432571,2.115905046,10.02987957,
5/3/2016,5.746686459,3.906088352,13.06700134,1.954450369,9.501173973,
5/4/2016,5.949032784,4.068520069,12.18466187,2.064918995,9.151295662,
5/5/2016,5.673840523,3.898353577,11.66646481,2.005435705,8.568161011,
5/6/2016,5.949032784,3.991171122,11.82052422,1.979943156,8.661462784,
5/9/2016,5.584806919,3.859678507,10.66508198,1.801493049,7.790651321,
5/10/2016,5.81143713,3.967967272,11.11325264,1.979943156,8.14053154,
5/11/2016,5.932845592,4.06078434,11.16227245,2.022431612,7.736224174,
5/12/2016,5.706215382,3.890618086,10.8121376,1.971445441,7.487422943,
5/13/2016,5.34198904,3.704981804,10.27993488,1.860976815,6.531085014,
5/16/2016,4.985856056,3.441998005,10.45500183,1.8524791,6.468884468,
5/17/2016,4.856353283,3.28730154,10.59505558,1.835483909,6.414458275,
5/18/2016,4.783508778,3.248628378,10.30094242,1.725015044,6.072354794,
5/19/2016,4.589254379,3.117135763,10.42699242,1.597550511,5.792450905,
5/20/2016,4.702569485,3.217688084,9.894786835,1.555062652,5.660274506,
5/23/2016,4.759227276,3.163544655,10.11186981,1.47858429,5.621398449,
5/24/2016,4.60544157,3.132605314,9.817757607,1.444593906,5.325944424,
5/25/2016,4.718758106,3.209953785,10.2379179,1.47858429,5.248193264,
5/27/2016,4.60544157,3.155809402,10.00682926,1.444593906,4.999390125,
5/30/2016,4.532596588,3.101666212,9.999827385,1.410603285,5.046040535,
5/31/2016,4.508315563,3.039787531,9.957810402,1.419100881,5.084916592,
6/1/2016,4.564972401,3.117135763,10.10486794,1.410603285,4.952738762,
6/2/2016,4.654006481,3.155809402,10.46900749,1.461588979,5.294844151,
6/3/2016,4.945386887,3.28730154,11.37235165,1.546565056,5.706924438,
6/6/2016,5.139641285,3.472936869,11.82752705,1.631541014,5.745800018,
6/7/2016,5.107265472,3.426528454,11.60344028,1.597550511,5.434795856,
6/8/2016,5.261050701,3.503876448,11.90455723,1.784497976,6.328932762,
6/9/2016,5.002044201,3.364650249,10.99420834,1.691024423,5.862426281,
6/10/2016,4.743040085,3.240892887,10.46900749,1.521072268,5.40369463,
6/13/2016,4.670193672,3.186748743,10.64407349,1.504076838,5.442570686,
6/14/2016,4.573066711,3.093930483,10.24492073,1.419100881,5.185993195,
6/15/2016,4.743040085,3.256362915,10.50401974,1.742010117,5.473671436,
6/16/2016,4.832072258,3.310506344,10.66508198,1.708019733,5.629173756,
6/17/2016,4.751133919,3.256362915,10.70009518,1.750507474,5.699150085,
6/20/2016,4.734945774,3.248628378,10.9031744,1.767502904,5.784675598,
6/21/2016,4.670193672,3.225423813,10.92418194,1.792995572,5.815776348,
6/22/2016,4.694476604,3.248628378,11.09924984,1.818488479,5.769125462,
6/23/2016,5.058702469,3.465202808,11.61744785,1.877972007,6.282281876,
6/24/2016,4.743040085,3.225423813,10.65107632,1.742010117,5.730249405,
6/27/2016,4.637818336,3.202218771,10.36396694,1.716517091,5.675824165,
6/28/2016,4.654006481,3.209953785,10.82614422,1.742010117,5.839100838,
6/29/2016,4.694476604,3.217688084,11.00121021,1.716517091,6.080129147,
6/30/2016,4.767320633,3.318240881,11.39335918,1.67402935,6.080129147,
7/1/2016,5.010138512,3.395589352,11.63845539,1.767502904,6.810988903,
7/4/2016,5.099172115,3.496141434,11.88354778,1.801493049,7.230844021,
7/5/2016,4.856353283,3.364650249,11.24630451,1.725015044,6.69436121,
7/6/2016,4.969669342,3.434263229,11.40736675,1.759005189,7.044241905,
7/7/2016,4.864447594,3.364650249,11.21829319,1.716517091,6.639935493,
7/8/2016,4.985856056,3.403324842,11.3373394,1.733512282,7.044241905,
7/11/2016,5.074890137,3.503876448,11.80651951,1.759005189,7.106443405,
7/12/2016,5.374365807,3.681778431,12.387743,1.809991121,7.44077158,
7/13/2016,5.617183685,3.859678507,12.47877502,1.826986313,7.49519825,
7/14/2016,5.495774269,3.759125948,12.14965153,1.843981266,7.604049206,
7/15/2016,5.617183685,3.867414236,12.14264774,1.996938348,7.969478607,
7/18/2016,5.77096653,3.913822651,12.31071186,2.14989543,8.148305893,
7/19/2016,5.690029144,3.867414236,11.79251289,2.056421757,8.0938797,
7/20/2016,5.528148651,3.813270807,11.56142521,2.115905046,7.969478607,
7/21/2016,5.600995064,3.851943254,12.18466187,2.328345299,8.397109032,
7/22/2016,5.900469303,3.998905897,12.00959587,2.38782835,8.459310532,
7/25/2016,5.932845592,4.022110939,12.19866943,2.438814163,8.537062645,
7/26/2016,6.151381969,4.17680645,12.89893532,2.583273411,8.715888023,
7/27/2016,6.410387993,4.339238167,13.24907017,2.812708616,8.824739456,
7/28/2016,6.329449177,4.29282856,13.33310223,2.880690098,8.824739456,
7/29/2016,6.272790909,4.277359486,12.95495892,3.186604023,8.607036591,
8/1/2016,6.402293682,4.377913952,12.53479767,3.263082027,8.303808212,
8/2/2016,6.135194302,4.215480328,12.59782219,3.067636967,7.806202888,
8/3/2016,6.353730202,4.26962471,13.17904282,3.365053415,8.249382019,
8/4/2016,6.677487373,4.517139435,13.1370306,3.365053415,8.467085838,
