Month,2016,2017,2018,2019,2020,2021,2022
1,1629,1799,1923,1907,2043,2160,2024
2,1715,1722,1861,1865,1898,2078,1881
3,1771,1962,2130,2060,1903,2101,2144
4,1650,1906,2038,1942,1278,2247,2032
5,1744,1837,2026,2010,1432,2437,
6,1790,1820,1918,1801,1550,2248,
7,1929,1873,1947,1894,1657,2286,
8,1903,1963,1906,1895,1846,2332,
9,1827,1881,2107,1969,1972,2181,
10,1953,2126,2129,1887,2177,2177,
11,1794,2009,2054,1774,1956,1946,
12,1416,1792,1657,1482,2095,1771,
