Month,2016,2017,2018,2019,2020,2021,2022
1,245,303,371,332,213,125,373
2,340,366,284,256,233,141,376
3,435,360,432,424,319,155,323
4,309,390,326,308,213,114,370
5,373,421,417,364,240,159,
6,440,445,335,389,294,184,
7,408,403,410,225,188,132,
8,339,508,322,328,184,242,
9,468,513,378,365,229,260,
10,313,448,268,384,172,341,
11,438,534,497,248,176,399,
12,544,497,479,248,201,424,
