4-2022,"0,2800"
5-2022,"0,2400"
6-2022,"0,2100"
7-2022,"0,1900"
8-2022,"0,1600"
9-2022,"0,1600"
10-2022,"0,1600"
11-2022,"0,1500"
12-2022,"0,1600"
1-2022,"0,1500"
2-2022,"0,1300"
3-2022,"0,2000"
4-2022,"0,2100"
5-2022,"0,2700"
6-2022,"0,3100"
7-2022,"0,3600"
8-2022,"0,4300"
9-2022,"0,4400"
10-2022,"0,4900"
11-2022,"0,5900"
12-2022,"0,7700"
1-2022,"0,7300"
2-2022,"0,7600"
3-2022,"0,9300"
4-2022,"0,8300"
5-2022,"10,300"
6-2022,"10,200"
7-2022,"10,300"
8-2022,"11,700"
