,Data,Cotacoes,Ref
188,2015-09-30,2.8466989994049072,9-2015
189,2015-10-30,2.362335443496704,10-2015
190,2015-11-30,1.8694742918014526,11-2015
191,2015-12-30,1.3171294927597046,12-2015
192,2016-01-29,0.7222968339920044,1-2016
193,2016-02-29,0.7647849917411804,2-2016
194,2016-03-31,1.5380674600601196,3-2016
195,2016-04-29,2.1244025230407715,4-2016
196,2016-05-31,1.4191011190414429,5-2016
197,2016-06-30,1.6740291118621826,6-2016
198,2016-07-29,3.1866037845611572,7-2016
199,2016-08-31,2.9486706256866455,8-2016
200,2016-09-30,2.9996564388275146,9-2016
201,2016-10-31,3.8324220180511475,10-2016
202,2016-11-30,3.526508331298828,11-2016
203,2016-12-29,3.4840199947357178,12-2016
204,2017-01-31,4.461245059967041,1-2017
205,2017-02-24,4.189321517944336,2-2017
206,2017-03-31,3.7729384899139404,3-2017
207,2017-04-28,3.6199822425842285,4-2017
208,2017-05-31,3.373551607131958,5-2017
209,2017-06-30,3.908900737762451,6-2017
210,2017-07-31,4.393265247344971,7-2017
211,2017-08-31,5.85485315322876,8-2017
212,2017-09-29,6.611140727996826,9-2017
213,2017-10-31,7.48639440536499,10-2017
214,2017-11-30,7.273953914642334,11-2017
215,2017-12-29,7.732826232910156,12-2017
216,2018-01-31,10.078164100646973,1-2018
217,2018-02-28,10.469056129455566,2-2018
218,2018-03-29,9.279391288757324,3-2018
219,2018-04-30,9.302998542785645,4-2018
220,2018-05-30,7.041261196136475,5-2018
221,2018-06-29,6.247519016265869,6-2018
222,2018-07-31,7.570422649383545,7-2018
223,2018-08-31,6.887633323669434,8-2018
224,2018-09-28,7.101004123687744,9-2018
225,2018-10-31,8.773837089538574,10-2018
226,2018-11-30,7.980095386505127,11-2018
227,2018-12-28,7.869141578674316,12-2018
228,2019-01-31,8.438665390014648,1-2019
229,2019-02-28,8.3096342086792,2-2019
230,2019-03-29,8.636514663696289,3-2019
231,2019-04-30,7.481468200683594,4-2019
232,2019-05-31,7.108694553375244,5-2019
233,2019-06-28,7.750210762023926,6-2019
234,2019-07-31,7.59503173828125,7-2019
235,2019-08-30,6.8572282791137695,8-2019
236,2019-09-30,6.77910852432251,9-2019
237,2019-10-31,6.301706790924072,10-2019
238,2019-11-29,7.386711120605469,11-2019
239,2019-12-30,8.254714012145996,12-2019
240,2020-01-31,8.358874320983887,1-2020
241,2020-02-28,7.091589450836182,2-2020
242,2020-03-31,4.270578384399414,3-2020
243,2020-04-30,4.2052106857299805,4-2020
244,2020-05-29,5.3879265785217285,5-2020
245,2020-06-30,6.369142055511475,6-2020
246,2020-07-31,7.122575759887695,7-2020
247,2020-08-31,8.892267227172852,8-2020
248,2020-09-30,8.787137985229492,9-2020
249,2020-10-30,9.549332618713379,10-2020
250,2020-11-30,11.958568572998047,11-2020
251,2020-12-30,12.799609184265137,12-2020
252,2021-01-29,11.564330101013184,1-2021
253,2021-02-26,14.227630615234375,2-2021
254,2021-03-31,14.981062889099121,3-2021
255,2021-04-30,19.781978607177734,4-2021
256,2021-05-31,17.504323959350586,5-2021
257,2021-06-30,16.834470748901367,6-2021
258,2021-07-30,18.13010597229004,7-2021
259,2021-08-31,16.296823501586914,8-2021
260,2021-09-30,15.103012084960938,9-2021
261,2021-10-29,12.41407585144043,10-2021
262,2021-11-30,12.732625961303711,11-2021
263,2021-12-30,14.383323669433594,12-2021
264,2022-01-31,15.151826858520508,1-2022
265,2022-02-25,13.956378936767578,2-2022
266,2022-03-31,13.254290580749512,3-2022
267,2022-04-29,11.3100004196167,4-2022
268,2022-05-31,10.960000038146973,5-2022
269,2022-06-30,8.649999618530273,6-2022
270,2022-07-29,8.609999656677246,7-2022
