,Data,Cotacoes,Ref
114,2009-07-31,10.695752143859863,7-2009
115,2009-08-31,10.90032958984375,8-2009
116,2009-09-30,11.85930347442627,9-2009
117,2009-10-30,12.894996643066406,10-2009
118,2009-11-30,13.152365684509277,11-2009
119,2009-12-30,14.487892150878906,12-2009
120,2010-01-29,12.612229347229004,1-2010
121,2010-02-26,12.974420547485352,2-2010
122,2010-03-31,14.2291841506958,3-2010
123,2010-04-30,14.028679847717285,4-2010
124,2010-05-31,12.019139289855957,5-2010
125,2010-06-30,11.31021785736084,6-2010
126,2010-07-30,12.097187995910645,7-2010
127,2010-08-31,11.390379905700684,8-2010
128,2010-09-30,11.370721817016602,9-2010
129,2010-10-29,11.075800895690918,10-2010
130,2010-11-30,9.829949378967285,11-2010
131,2010-12-30,11.07107162475586,12-2010
132,2011-01-31,10.760787963867188,1-2011
133,2011-02-28,11.255918502807617,2-2011
134,2011-03-31,10.387975692749023,3-2011
135,2011-04-29,10.162725448608398,4-2011
136,2011-05-31,9.84795093536377,5-2011
137,2011-06-30,9.50194263458252,6-2011
138,2011-07-29,8.084637641906738,7-2011
139,2011-08-31,7.666772842407227,8-2011
140,2011-09-30,7.458834648132324,9-2011
141,2011-10-31,8.921087265014648,10-2011
142,2011-11-30,7.851319313049316,11-2011
143,2011-12-29,8.298417091369629,12-2011
144,2012-01-31,9.348420143127441,1-2012
145,2012-02-29,9.94511604309082,2-2012
146,2012-03-30,9.71351432800293,3-2012
147,2012-04-30,10.115405082702637,4-2012
148,2012-05-31,9.32503890991211,5-2012
149,2012-06-29,9.995511054992676,6-2012
150,2012-07-31,10.399162292480469,7-2012
151,2012-08-31,10.183358192443848,8-2012
152,2012-09-28,10.9608736038208,9-2012
153,2012-10-31,10.162717819213867,10-2012
154,2012-11-30,10.238667488098145,11-2012
155,2012-12-28,10.653467178344727,12-2012
156,2013-01-31,10.618900299072266,1-2013
157,2013-02-28,9.989785194396973,2-2013
158,2013-03-28,9.643921852111816,3-2013
159,2013-04-30,9.366999626159668,4-2013
160,2013-05-31,8.356131553649902,5-2013
161,2013-06-28,7.732021331787109,6-2013
162,2013-07-31,8.68205451965332,7-2013
163,2013-08-30,9.96808910369873,8-2013
164,2013-09-30,9.549847602844238,9-2013
165,2013-10-31,10.35147762298584,10-2013
166,2013-11-29,10.539406776428223,11-2013
167,2013-12-30,10.602644920349121,12-2013
168,2014-01-31,9.970280647277832,1-2014
169,2014-02-28,8.220738410949707,2-2014
170,2014-03-31,8.369569778442383,3-2014
171,2014-04-30,7.641473293304443,4-2014
172,2014-05-30,7.754441261291504,5-2014
173,2014-06-30,7.370275020599365,6-2014
174,2014-07-31,7.669068813323975,7-2014
175,2014-08-29,7.633142948150635,8-2014
176,2014-09-30,7.182451248168945,9-2014
177,2014-10-31,6.567220211029053,10-2014
178,2014-11-28,6.547317028045654,11-2014
179,2014-12-30,5.784662246704102,12-2014
180,2015-01-30,5.302608013153076,1-2015
181,2015-02-27,6.022092342376709,2-2015
182,2015-03-31,5.697194576263428,3-2015
183,2015-04-30,5.660907745361328,4-2015
184,2015-05-29,5.275838375091553,5-2015
185,2015-06-30,4.485558986663818,6-2015
186,2015-07-31,3.687964677810669,7-2015
187,2015-08-31,3.304349660873413,8-2015
188,2015-09-30,3.2747139930725098,9-2015
189,2015-10-30,3.037630796432495,10-2015
190,2015-11-30,3.104098081588745,11-2015
191,2015-12-30,2.602954387664795,12-2015
192,2016-01-29,1.9447357654571533,1-2016
193,2016-02-29,2.0644118785858154,2-2016
194,2016-03-31,3.6127214431762695,3-2016
195,2016-04-29,4.2335405349731445,4-2016
196,2016-05-31,2.9395434856414795,5-2016
197,2016-06-30,3.2088141441345215,6-2016
198,2016-07-29,4.1363043785095215,7-2016
199,2016-08-31,4.8455400466918945,8-2016
200,2016-09-30,4.920664310455322,9-2016
201,2016-10-31,6.08509635925293,10-2016
202,2016-11-30,7.1296186447143555,11-2016
203,2016-12-29,5.9476237297058105,12-2016
204,2017-01-31,6.497213363647461,1-2017
205,2017-02-24,6.866117477416992,2-2017
206,2017-03-31,7.942712783813477,3-2017
207,2017-04-28,7.280192852020264,4-2017
208,2017-05-31,7.122090816497803,5-2017
209,2017-06-30,7.64909553527832,6-2017
210,2017-07-31,8.00294303894043,7-2017
211,2017-08-31,8.877274513244629,8-2017
212,2017-09-29,8.319143295288086,9-2017
213,2017-10-31,8.17584228515625,10-2017
214,2017-11-30,7.217170715332031,11-2017
215,2017-12-29,7.845076084136963,12-2017
216,2018-01-31,9.350546836853027,1-2018
217,2018-02-28,10.243237495422363,2-2018
218,2018-03-29,9.970667839050293,3-2018
219,2018-04-30,10.668237686157227,4-2018
220,2018-05-30,8.730390548706055,5-2018
221,2018-06-29,8.173779487609863,6-2018
222,2018-07-31,9.485243797302246,7-2018
223,2018-08-31,9.811516761779785,8-2018
224,2018-09-28,10.297464370727539,9-2018
225,2018-10-31,10.004351615905762,10-2018
226,2018-11-30,9.487797737121582,11-2018
227,2018-12-28,9.542370796203613,12-2018
228,2019-01-31,9.900989532470703,1-2019
229,2019-02-28,9.729476928710938,2-2019
230,2019-03-29,9.587703704833984,3-2019
231,2019-04-30,9.131896018981934,4-2019
232,2019-05-31,9.125157356262207,5-2019
233,2019-06-28,9.884267807006836,6-2019
234,2019-07-31,9.354469299316406,7-2019
235,2019-08-30,8.74413013458252,8-2019
236,2019-09-30,8.74413013458252,9-2019
237,2019-10-31,8.871430397033691,10-2019
238,2019-11-29,11.405678749084473,11-2019
239,2019-12-30,13.65648365020752,12-2019
240,2020-01-31,14.59032917022705,1-2020
241,2020-02-28,11.796775817871094,2-2020
242,2020-03-31,7.437966823577881,3-2020
243,2020-04-30,8.597650527954102,4-2020
244,2020-05-29,8.79759407043457,5-2020
245,2020-06-30,10.757059097290039,6-2020
246,2020-07-31,11.780780792236328,7-2020
247,2020-08-31,12.828493118286133,8-2020
248,2020-09-30,13.604283332824707,9-2020
249,2020-10-30,14.476043701171875,10-2020
250,2020-11-30,14.97149658203125,11-2020
251,2020-12-30,16.460195541381836,12-2020
252,2021-01-29,16.03002166748047,1-2021
253,2021-02-26,17.231258392333984,2-2021
254,2021-03-31,19.787485122680664,3-2021
255,2021-04-30,22.554790496826172,4-2021
256,2021-05-31,22.966930389404297,5-2021
257,2021-06-30,21.054401397705078,6-2021
258,2021-07-30,21.6505126953125,7-2021
259,2021-08-31,19.747169494628906,8-2021
260,2021-09-30,19.130767822265625,9-2021
261,2021-10-29,19.147985458374023,10-2021
262,2021-11-30,19.65691566467285,11-2021
263,2021-12-30,20.99291229248047,12-2021
264,2022-01-31,21.114368438720703,1-2022
265,2022-02-25,18.993589401245117,2-2022
266,2022-03-31,22.675573348999023,3-2022
267,2022-04-29,20.724681854248047,4-2022
268,2022-05-31,22.144821166992188,5-2022
269,2022-06-30,17.251686096191406,6-2022
270,2022-07-29,18.95364761352539,7-2022
