,Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
61,2016-04-04,4.706606864929199,3.1496660709381104,9.846609115600586,1.4021055698394775,5.314855575561523,20.31443977355957
62,2016-04-05,4.765071868896484,3.2596983909606934,10.179488182067871,1.3596175909042358,5.811929225921631,20.31443977355957
63,2016-04-06,4.582362651824951,3.1496660709381104,10.0330228805542,1.2321534156799316,5.873106956481934,20.31443977355957
64,2016-04-07,4.48735237121582,3.0671424865722656,9.993077278137207,1.2491487264633179,5.804281711578369,20.31443977355957
65,2016-04-08,4.977015495300293,3.3697304725646973,10.811962127685547,1.4275983572006226,6.30900239944458,20.31443977355957
66,2016-04-11,5.291275501251221,3.576040267944336,11.297966957092285,1.5210721492767334,6.8749003410339355,20.31443977355957
67,2016-04-12,5.649388313293457,3.741089105606079,12.476366996765137,1.6910245418548584,8.243762969970703,20.31443977355957
68,2016-04-13,6.087891578674316,4.050554275512695,13.028945922851562,1.8864693641662598,9.941457748413086,20.31443977355957
69,2016-04-14,5.459370136260986,3.741089105606079,12.11685562133789,1.6995220184326172,8.763776779174805,20.31443977355957
70,2016-04-15,5.737088203430176,3.8923816680908203,12.383159637451172,1.7844982147216797,9.115550994873047,20.31443977355957
71,2016-04-18,5.408210277557373,3.713580369949341,12.682751655578613,1.759005069732666,9.253202438354492,20.31443977355957
72,2016-04-19,5.912490367889404,3.9749062061309814,13.621475219726562,1.9459525346755981,10.170875549316406,20.31443977355957
73,2016-04-20,5.949032783508301,4.029922008514404,14.486964225769043,2.1329002380371094,10.446176528930664,20.31443977355957
74,2016-04-22,5.671314239501953,3.844243049621582,12.869163513183594,2.209378242492676,10.247346878051758,20.31443977355957
75,2016-04-25,5.298584461212158,3.521023750305176,12.023645401000977,1.9799431562423706,9.306733131408691,20.31443977355957
76,2016-04-26,5.605537414550781,3.7617180347442627,12.443077087402344,2.039426565170288,9.406147003173828,20.31443977355957
77,2016-04-27,5.912490367889404,3.981783628463745,12.949058532714844,2.192383289337158,9.903219223022461,20.31443977355957
78,2016-04-28,5.671314239501953,3.851120710372925,13.1754150390625,2.0904123783111572,9.910867691040039,20.31443977355957
79,2016-04-29,5.707854747772217,3.8923816680908203,13.108839988708496,2.1244022846221924,10.0485200881958,20.31443977355957
80,2016-05-02,5.5470709800720215,3.7273342609405518,13.228676795959473,2.1159050464630127,9.864983558654785,20.31443977355957
81,2016-05-03,5.188959121704102,3.4728856086730957,12.423104286193848,1.954450011253357,9.344971656799316,20.31443977355957
82,2016-05-04,5.371669292449951,3.617302894592285,11.584245681762695,2.0649187564849854,9.000842094421387,20.31443977355957
