,Data
1498,2019-01-11
1499,2019-01-14
1500,2019-01-15
1501,2019-01-16
1502,2019-01-17
1503,2019-01-18
1504,2019-01-21
1505,2019-01-22
1506,2019-01-23
1507,2019-01-24
1508,2019-01-28
1509,2019-01-29
1510,2019-01-30
1511,2019-01-31
1512,2019-02-01
1513,2019-02-04
1514,2019-02-05
1515,2019-02-06
1516,2019-02-07
1517,2019-02-08
1518,2019-02-11
1519,2019-02-12
1520,2019-02-13
1521,2019-02-14
1522,2019-02-15
1523,2019-02-18
1524,2019-02-19
1525,2019-02-20
1526,2019-02-21
1527,2019-02-22
1528,2019-02-25
1529,2019-02-26
1530,2019-02-27
1531,2019-02-28
1532,2019-03-01
1533,2019-03-06
1534,2019-03-07
1535,2019-03-08
1536,2019-03-11
1537,2019-03-12
1538,2019-03-13
1539,2019-03-14
1540,2019-03-15
1541,2019-03-18
1542,2019-03-19
1543,2019-03-20
1544,2019-03-21
1545,2019-03-22
1546,2019-03-25
1547,2019-03-26
1548,2019-03-27
1549,2019-03-28
1550,2019-03-29
1551,2019-04-01
1552,2019-04-02
1553,2019-04-03
1554,2019-04-04
1555,2019-04-05
1556,2019-04-08
1557,2019-04-09
1558,2019-04-10
1559,2019-04-11
1560,2019-04-12
1561,2019-04-15
1562,2019-04-16
1563,2019-04-17
1564,2019-04-18
1565,2019-04-22
1566,2019-04-23
1567,2019-04-24
1568,2019-04-25
1569,2019-04-26
1570,2019-04-29
1571,2019-04-30
1572,2019-05-02
1573,2019-05-03
1574,2019-05-06
1575,2019-05-07
1576,2019-05-08
1577,2019-05-09
1578,2019-05-10
1579,2019-05-13
1580,2019-05-14
1581,2019-05-15
1582,2019-05-16
1583,2019-05-17
1584,2019-05-20
1585,2019-05-21
1586,2019-05-22
1587,2019-05-23
1588,2019-05-24
1589,2019-05-27
1590,2019-05-28
1591,2019-05-29
1592,2019-05-30
1593,2019-05-31
1594,2019-06-03
1595,2019-06-04
1596,2019-06-05
1597,2019-06-06
1598,2019-06-07
1599,2019-06-10
1600,2019-06-11
1601,2019-06-12
1602,2019-06-13
1603,2019-06-14
1604,2019-06-17
1605,2019-06-18
1606,2019-06-19
1607,2019-06-21
1608,2019-06-24
1609,2019-06-25
1610,2019-06-26
1611,2019-06-27
1612,2019-06-28
1613,2019-07-01
1614,2019-07-02
1615,2019-07-03
1616,2019-07-04
1617,2019-07-05
1618,2019-07-08
1619,2019-07-10
1620,2019-07-11
1621,2019-07-12
1622,2019-07-15
1623,2019-07-16
1624,2019-07-17
1625,2019-07-18
1626,2019-07-19
1627,2019-07-22
1628,2019-07-23
1629,2019-07-24
1630,2019-07-25
1631,2019-07-26
1632,2019-07-29
1633,2019-07-30
1634,2019-07-31
1635,2019-08-01
1636,2019-08-02
1637,2019-08-05
1638,2019-08-06
1639,2019-08-07
1640,2019-08-08
1641,2019-08-09
1642,2019-08-12
1643,2019-08-13
1644,2019-08-14
1645,2019-08-15
1646,2019-08-16
1647,2019-08-19
1648,2019-08-20
1649,2019-08-21
1650,2019-08-22
1651,2019-08-23
1652,2019-08-26
1653,2019-08-27
1654,2019-08-28
1655,2019-08-29
1656,2019-08-30
1657,2019-09-02
1658,2019-09-03
1659,2019-09-04
1660,2019-09-05
1661,2019-09-06
1662,2019-09-09
1663,2019-09-10
1664,2019-09-11
1665,2019-09-12
1666,2019-09-13
1667,2019-09-16
1668,2019-09-17
1669,2019-09-18
1670,2019-09-19
1671,2019-09-20
1672,2019-09-23
1673,2019-09-24
1674,2019-09-25
1675,2019-09-26
1676,2019-09-27
1677,2019-09-30
1678,2019-10-01
1679,2019-10-02
1680,2019-10-03
1681,2019-10-04
1682,2019-10-07
1683,2019-10-08
1684,2019-10-09
1685,2019-10-10
1686,2019-10-11
1687,2019-10-14
1688,2019-10-15
1689,2019-10-16
1690,2019-10-17
1691,2019-10-18
1692,2019-10-21
1693,2019-10-22
1694,2019-10-23
1695,2019-10-24
1696,2019-10-25
1697,2019-10-28
1698,2019-10-29
1699,2019-10-30
1700,2019-10-31
1701,2019-11-01
1702,2019-11-04
1703,2019-11-05
1704,2019-11-06
1705,2019-11-07
1706,2019-11-08
1707,2019-11-11
1708,2019-11-12
1709,2019-11-13
1710,2019-11-14
1711,2019-11-18
1712,2019-11-19
1713,2019-11-21
1714,2019-11-22
1715,2019-11-25
1716,2019-11-26
1717,2019-11-27
1718,2019-11-28
1719,2019-11-29
1720,2019-12-02
1721,2019-12-03
1722,2019-12-04
1723,2019-12-05
1724,2019-12-06
1725,2019-12-09
1726,2019-12-10
1727,2019-12-11
1728,2019-12-12
1729,2019-12-13
1730,2019-12-16
1731,2019-12-17
1732,2019-12-18
1733,2019-12-19
1734,2019-12-20
1735,2019-12-23
1736,2019-12-26
1737,2019-12-27
1738,2019-12-30
1739,2020-01-02
1740,2020-01-03
1741,2020-01-06
1742,2020-01-07
1743,2020-01-08
1744,2020-01-09
1745,2020-01-10
1746,2020-01-13
1747,2020-01-14
1748,2020-01-15
1749,2020-01-16
1750,2020-01-17
1751,2020-01-20
1752,2020-01-21
1753,2020-01-22
1754,2020-01-23
1755,2020-01-24
1756,2020-01-27
1757,2020-01-28
1758,2020-01-29
1759,2020-01-30
1760,2020-01-31
1761,2020-02-03
1762,2020-02-04
1763,2020-02-05
1764,2020-02-06
1765,2020-02-07
1766,2020-02-10
1767,2020-02-11
1768,2020-02-12
1769,2020-02-13
1770,2020-02-14
1771,2020-02-17
1772,2020-02-18
1773,2020-02-19
1774,2020-02-20
1775,2020-02-21
1776,2020-02-26
1777,2020-02-27
1778,2020-02-28
1779,2020-03-02
1780,2020-03-03
1781,2020-03-04
1782,2020-03-05
1783,2020-03-06
1784,2020-03-09
1785,2020-03-10
1786,2020-03-11
1787,2020-03-12
1788,2020-03-13
1789,2020-03-16
1790,2020-03-17
1791,2020-03-18
1792,2020-03-19
1793,2020-03-20
1794,2020-03-23
1795,2020-03-24
1796,2020-03-25
1797,2020-03-26
1798,2020-03-27
1799,2020-03-30
1800,2020-03-31
1801,2020-04-01
1802,2020-04-02
1803,2020-04-03
1804,2020-04-06
1805,2020-04-07
1806,2020-04-08
1807,2020-04-09
1808,2020-04-13
1809,2020-04-14
1810,2020-04-15
1811,2020-04-16
1812,2020-04-17
1813,2020-04-20
1814,2020-04-22
1815,2020-04-23
1816,2020-04-24
1817,2020-04-27
1818,2020-04-28
1819,2020-04-29
1820,2020-04-30
1821,2020-05-04
1822,2020-05-05
1823,2020-05-06
1824,2020-05-07
1825,2020-05-08
1826,2020-05-11
1827,2020-05-12
1828,2020-05-13
1829,2020-05-14
1830,2020-05-15
1831,2020-05-18
1832,2020-05-19
1833,2020-05-20
1834,2020-05-21
1835,2020-05-22
1836,2020-05-25
1837,2020-05-26
1838,2020-05-27
1839,2020-05-28
1840,2020-05-29
1841,2020-06-01
1842,2020-06-02
1843,2020-06-03
1844,2020-06-04
1845,2020-06-05
1846,2020-06-08
1847,2020-06-09
1848,2020-06-10
1849,2020-06-12
1850,2020-06-15
1851,2020-06-16
1852,2020-06-17
1853,2020-06-18
1854,2020-06-19
1855,2020-06-22
1856,2020-06-23
1857,2020-06-24
1858,2020-06-25
1859,2020-06-26
1860,2020-06-29
1861,2020-06-30
1862,2020-07-01
1863,2020-07-02
1864,2020-07-03
1865,2020-07-06
1866,2020-07-07
1867,2020-07-08
1868,2020-07-09
1869,2020-07-10
1870,2020-07-13
1871,2020-07-14
1872,2020-07-15
1873,2020-07-16
1874,2020-07-17
1875,2020-07-20
1876,2020-07-21
1877,2020-07-22
1878,2020-07-23
1879,2020-07-24
1880,2020-07-27
1881,2020-07-28
1882,2020-07-29
1883,2020-07-30
1884,2020-07-31
1885,2020-08-03
1886,2020-08-04
1887,2020-08-05
1888,2020-08-06
1889,2020-08-07
1890,2020-08-10
1891,2020-08-11
1892,2020-08-12
1893,2020-08-13
1894,2020-08-14
1895,2020-08-17
1896,2020-08-18
1897,2020-08-19
1898,2020-08-20
1899,2020-08-21
1900,2020-08-24
1901,2020-08-25
1902,2020-08-26
1903,2020-08-27
1904,2020-08-28
1905,2020-08-31
1906,2020-09-01
1907,2020-09-02
1908,2020-09-03
1909,2020-09-04
1910,2020-09-08
1911,2020-09-09
1912,2020-09-10
1913,2020-09-11
1914,2020-09-14
1915,2020-09-15
1916,2020-09-16
1917,2020-09-17
1918,2020-09-18
1919,2020-09-21
1920,2020-09-22
1921,2020-09-23
1922,2020-09-24
1923,2020-09-25
1924,2020-09-28
1925,2020-09-29
1926,2020-09-30
1927,2020-10-01
1928,2020-10-02
1929,2020-10-05
1930,2020-10-06
1931,2020-10-07
1932,2020-10-08
1933,2020-10-09
1934,2020-10-13
1935,2020-10-14
1936,2020-10-15
1937,2020-10-16
1938,2020-10-19
1939,2020-10-20
1940,2020-10-21
1941,2020-10-22
1942,2020-10-23
1943,2020-10-26
1944,2020-10-27
1945,2020-10-28
1946,2020-10-29
1947,2020-10-30
1948,2020-11-03
1949,2020-11-04
1950,2020-11-05
1951,2020-11-06
1952,2020-11-09
1953,2020-11-10
1954,2020-11-11
1955,2020-11-12
1956,2020-11-13
1957,2020-11-16
1958,2020-11-17
1959,2020-11-18
1960,2020-11-19
1961,2020-11-23
1962,2020-11-24
1963,2020-11-25
1964,2020-11-26
1965,2020-11-27
1966,2020-11-30
1967,2020-12-01
1968,2020-12-02
1969,2020-12-03
1970,2020-12-04
1971,2020-12-07
1972,2020-12-08
1973,2020-12-09
1974,2020-12-10
1975,2020-12-11
1976,2020-12-14
1977,2020-12-15
1978,2020-12-16
1979,2020-12-17
1980,2020-12-18
1981,2020-12-21
1982,2020-12-22
1983,2020-12-23
1984,2020-12-28
1985,2020-12-29
1986,2020-12-30
1987,2021-01-04
1988,2021-01-05
1989,2021-01-06
1990,2021-01-07
1991,2021-01-08
1992,2021-01-11
1993,2021-01-12
1994,2021-01-13
1995,2021-01-14
1996,2021-01-15
1997,2021-01-18
1998,2021-01-19
1999,2021-01-20
2000,2021-01-21
2001,2021-01-22
2002,2021-01-26
2003,2021-01-27
2004,2021-01-28
2005,2021-01-29
2006,2021-02-01
2007,2021-02-02
2008,2021-02-03
2009,2021-02-04
2010,2021-02-05
2011,2021-02-08
2012,2021-02-09
2013,2021-02-10
2014,2021-02-11
2015,2021-02-12
2016,2021-02-17
2017,2021-02-18
2018,2021-02-19
2019,2021-02-22
2020,2021-02-23
2021,2021-02-24
2022,2021-02-25
2023,2021-02-26
2024,2021-03-01
2025,2021-03-02
2026,2021-03-03
2027,2021-03-04
2028,2021-03-05
2029,2021-03-08
2030,2021-03-09
2031,2021-03-10
2032,2021-03-11
2033,2021-03-12
2034,2021-03-15
2035,2021-03-16
2036,2021-03-17
2037,2021-03-18
2038,2021-03-19
2039,2021-03-22
2040,2021-03-23
2041,2021-03-24
2042,2021-03-25
2043,2021-03-26
2044,2021-03-29
2045,2021-03-30
2046,2021-03-31
2047,2021-04-01
2048,2021-04-05
2049,2021-04-06
2050,2021-04-07
2051,2021-04-08
2052,2021-04-09
2053,2021-04-12
2054,2021-04-13
2055,2021-04-14
2056,2021-04-15
2057,2021-04-16
2058,2021-04-19
2059,2021-04-20
2060,2021-04-22
2061,2021-04-23
2062,2021-04-26
2063,2021-04-27
2064,2021-04-28
2065,2021-04-29
2066,2021-04-30
2067,2021-05-03
2068,2021-05-04
2069,2021-05-05
2070,2021-05-06
2071,2021-05-07
2072,2021-05-10
2073,2021-05-11
2074,2021-05-12
2075,2021-05-13
2076,2021-05-14
2077,2021-05-17
2078,2021-05-18
2079,2021-05-19
2080,2021-05-20
2081,2021-05-21
2082,2021-05-24
2083,2021-05-25
2084,2021-05-26
2085,2021-05-27
2086,2021-05-28
2087,2021-05-31
2088,2021-06-01
2089,2021-06-02
2090,2021-06-04
2091,2021-06-07
2092,2021-06-08
2093,2021-06-09
2094,2021-06-10
2095,2021-06-11
2096,2021-06-14
2097,2021-06-15
2098,2021-06-16
2099,2021-06-17
2100,2021-06-18
2101,2021-06-21
2102,2021-06-22
2103,2021-06-23
2104,2021-06-24
2105,2021-06-25
2106,2021-06-28
2107,2021-06-29
2108,2021-06-30
2109,2021-07-01
2110,2021-07-02
2111,2021-07-05
2112,2021-07-06
2113,2021-07-07
2114,2021-07-08
2115,2021-07-12
2116,2021-07-13
2117,2021-07-14
2118,2021-07-15
2119,2021-07-16
2120,2021-07-19
2121,2021-07-20
2122,2021-07-21
2123,2021-07-22
2124,2021-07-23
2125,2021-07-26
2126,2021-07-27
2127,2021-07-28
2128,2021-07-29
2129,2021-07-30
2130,2021-08-02
2131,2021-08-03
2132,2021-08-04
2133,2021-08-05
2134,2021-08-06
2135,2021-08-09
2136,2021-08-10
2137,2021-08-11
2138,2021-08-12
2139,2021-08-13
2140,2021-08-16
2141,2021-08-17
2142,2021-08-18
2143,2021-08-19
2144,2021-08-20
2145,2021-08-23
2146,2021-08-24
2147,2021-08-25
2148,2021-08-26
2149,2021-08-27
2150,2021-08-30
2151,2021-08-31
2152,2021-09-01
2153,2021-09-02
2154,2021-09-03
2155,2021-09-06
2156,2021-09-08
2157,2021-09-09
2158,2021-09-10
2159,2021-09-13
2160,2021-09-14
2161,2021-09-15
2162,2021-09-16
2163,2021-09-17
2164,2021-09-20
2165,2021-09-21
2166,2021-09-22
2167,2021-09-23
2168,2021-09-24
2169,2021-09-27
2170,2021-09-28
2171,2021-09-29
2172,2021-09-30
2173,2021-10-01
2174,2021-10-04
2175,2021-10-05
2176,2021-10-06
2177,2021-10-07
2178,2021-10-08
2179,2021-10-11
2180,2021-10-13
2181,2021-10-14
2182,2021-10-15
2183,2021-10-18
2184,2021-10-19
2185,2021-10-20
2186,2021-10-21
2187,2021-10-22
2188,2021-10-25
2189,2021-10-26
2190,2021-10-27
2191,2021-10-28
2192,2021-10-29
2193,2021-11-01
2194,2021-11-03
2195,2021-11-04
2196,2021-11-05
2197,2021-11-08
2198,2021-11-09
2199,2021-11-10
2200,2021-11-11
2201,2021-11-12
2202,2021-11-16
2203,2021-11-17
2204,2021-11-18
2205,2021-11-19
2206,2021-11-22
2207,2021-11-23
2208,2021-11-24
2209,2021-11-25
2210,2021-11-26
2211,2021-11-29
2212,2021-11-30
2213,2021-12-01
2214,2021-12-02
2215,2021-12-03
2216,2021-12-06
2217,2021-12-07
2218,2021-12-08
2219,2021-12-09
2220,2021-12-10
2221,2021-12-13
2222,2021-12-14
2223,2021-12-15
2224,2021-12-16
2225,2021-12-17
2226,2021-12-20
2227,2021-12-21
2228,2021-12-22
2229,2021-12-23
2230,2021-12-27
2231,2021-12-28
2232,2021-12-29
2233,2021-12-30
2234,2022-01-03
2235,2022-01-04
2236,2022-01-05
2237,2022-01-06
2238,2022-01-07
2239,2022-01-10
2240,2022-01-11
2241,2022-01-12
2242,2022-01-13
2243,2022-01-14
2244,2022-01-17
2245,2022-01-18
2246,2022-01-19
2247,2022-01-20
2248,2022-01-21
2249,2022-01-24
2250,2022-01-25
2251,2022-01-26
2252,2022-01-27
2253,2022-01-28
2254,2022-01-31
2255,2022-02-01
2256,2022-02-02
2257,2022-02-03
2258,2022-02-04
2259,2022-02-07
2260,2022-02-08
2261,2022-02-09
2262,2022-02-10
2263,2022-02-11
2264,2022-02-14
2265,2022-02-15
2266,2022-02-16
2267,2022-02-17
2268,2022-02-18
2269,2022-02-21
2270,2022-02-22
2271,2022-02-23
2272,2022-02-24
2273,2022-02-25
2274,2022-03-02
2275,2022-03-03
2276,2022-03-04
2277,2022-03-07
2278,2022-03-08
2279,2022-03-09
2280,2022-03-10
2281,2022-03-11
2282,2022-03-14
2283,2022-03-15
2284,2022-03-16
2285,2022-03-17
2286,2022-03-18
2287,2022-03-21
2288,2022-03-22
2289,2022-03-23
2290,2022-03-24
2291,2022-03-25
2292,2022-03-28
2293,2022-03-29
2294,2022-03-30
2295,2022-03-31
2296,2022-04-01
2297,2022-04-04
2298,2022-04-05
2299,2022-04-06
2300,2022-04-07
2301,2022-04-08
2302,2022-04-11
2303,2022-04-12
2304,2022-04-13
2305,2022-04-14
2306,2022-04-18
2307,2022-04-19
2308,2022-04-20
2309,2022-04-22
2310,2022-04-25
2311,2022-04-26
2312,2022-04-27
2313,2022-04-28
2314,2022-04-29
2315,2022-05-02
2316,2022-05-03
2317,2022-05-04
2318,2022-05-05
2319,2022-05-06
2320,2022-05-09
2321,2022-05-10
2322,2022-05-11
2323,2022-05-12
2324,2022-05-13
2325,2022-05-16
2326,2022-05-17
2327,2022-05-18
2328,2022-05-19
2329,2022-05-20
2330,2022-05-23
2331,2022-05-24
2332,2022-05-25
2333,2022-05-26
2334,2022-05-27
2335,2022-05-30
2336,2022-05-31
2337,2022-06-01
2338,2022-06-02
2339,2022-06-03
2340,2022-06-06
2341,2022-06-07
2342,2022-06-08
2343,2022-06-09
2344,2022-06-10
2345,2022-06-13
2346,2022-06-14
2347,2022-06-15
2348,2022-06-17
2349,2022-06-20
2350,2022-06-21
2351,2022-06-22
2352,2022-06-23
2353,2022-06-24
2354,2022-06-27
2355,2022-06-28
2356,2022-06-29
2357,2022-06-30
2358,2022-07-01
2359,2022-07-04
2360,2022-07-05
2361,2022-07-06
2362,2022-07-07
2363,2022-07-08
2364,2022-07-11
2365,2022-07-12
2366,2022-07-13
2367,2022-07-14
2368,2022-07-15
2369,2022-07-18
2370,2022-07-19
2371,2022-07-20
2372,2022-07-21
2373,2022-07-22
2374,2022-07-25
2375,2022-07-26
2376,2022-07-27
2377,2022-07-28
2378,2022-07-29
2379,2022-08-01
2380,2022-08-02
2381,2022-08-03
2382,2022-08-04
2383,2022-08-05
2384,2022-08-08
2385,2022-08-09
2386,2022-08-10
2387,2022-08-11
2388,2022-08-12
2389,2022-08-15
2390,2022-08-16
2391,2022-08-17
2392,2022-08-18
2393,2022-08-19
2394,2022-08-22
2395,2022-08-23
2396,2022-08-24
2397,2022-08-25
2398,2022-08-26
2399,2022-08-29
