,Data
355,2014-06-09
356,2014-06-10
357,2014-06-11
358,2014-06-13
359,2014-06-16
360,2014-06-17
361,2014-06-18
362,2014-06-20
363,2014-06-23
364,2014-06-24
365,2014-06-25
366,2014-06-26
367,2014-06-27
368,2014-06-30
369,2014-07-01
370,2014-07-02
371,2014-07-03
372,2014-07-04
373,2014-07-07
374,2014-07-08
375,2014-07-10
376,2014-07-11
377,2014-07-14
378,2014-07-15
379,2014-07-16
380,2014-07-17
381,2014-07-18
382,2014-07-21
383,2014-07-22
384,2014-07-23
385,2014-07-24
386,2014-07-25
387,2014-07-28
388,2014-07-29
389,2014-07-30
390,2014-07-31
391,2014-08-01
392,2014-08-04
393,2014-08-05
394,2014-08-06
395,2014-08-07
396,2014-08-08
397,2014-08-11
398,2014-08-12
399,2014-08-13
400,2014-08-14
401,2014-08-15
402,2014-08-18
403,2014-08-19
404,2014-08-20
405,2014-08-21
406,2014-08-22
407,2014-08-25
408,2014-08-26
409,2014-08-27
410,2014-08-28
411,2014-08-29
412,2014-09-01
413,2014-09-02
414,2014-09-03
415,2014-09-04
416,2014-09-05
417,2014-09-08
418,2014-09-09
419,2014-09-10
420,2014-09-11
421,2014-09-12
422,2014-09-15
423,2014-09-16
424,2014-09-17
425,2014-09-18
426,2014-09-19
427,2014-09-22
428,2014-09-23
429,2014-09-24
430,2014-09-25
431,2014-09-26
432,2014-09-29
433,2014-09-30
434,2014-10-01
435,2014-10-02
436,2014-10-03
437,2014-10-06
438,2014-10-07
439,2014-10-08
440,2014-10-09
441,2014-10-10
442,2014-10-13
443,2014-10-14
444,2014-10-15
445,2014-10-16
446,2014-10-17
447,2014-10-20
448,2014-10-21
449,2014-10-22
450,2014-10-23
451,2014-10-24
452,2014-10-27
453,2014-10-28
454,2014-10-29
455,2014-10-30
456,2014-10-31
457,2014-11-03
458,2014-11-04
459,2014-11-05
460,2014-11-06
461,2014-11-07
462,2014-11-10
463,2014-11-11
464,2014-11-12
465,2014-11-13
466,2014-11-14
467,2014-11-17
468,2014-11-18
469,2014-11-19
470,2014-11-21
471,2014-11-24
472,2014-11-25
473,2014-11-26
474,2014-11-27
475,2014-11-28
476,2014-12-01
477,2014-12-02
478,2014-12-03
479,2014-12-04
480,2014-12-05
481,2014-12-08
482,2014-12-09
483,2014-12-10
484,2014-12-11
485,2014-12-12
486,2014-12-15
487,2014-12-16
488,2014-12-17
489,2014-12-18
490,2014-12-19
491,2014-12-22
492,2014-12-23
493,2014-12-26
494,2014-12-29
495,2014-12-30
496,2015-01-02
497,2015-01-05
498,2015-01-06
499,2015-01-07
500,2015-01-08
501,2015-01-09
502,2015-01-12
503,2015-01-13
504,2015-01-14
505,2015-01-15
506,2015-01-16
507,2015-01-19
508,2015-01-20
509,2015-01-21
510,2015-01-22
511,2015-01-23
512,2015-01-26
513,2015-01-27
514,2015-01-28
515,2015-01-29
516,2015-01-30
517,2015-02-02
518,2015-02-03
519,2015-02-04
520,2015-02-05
521,2015-02-06
522,2015-02-09
523,2015-02-10
524,2015-02-11
525,2015-02-12
526,2015-02-13
527,2015-02-18
528,2015-02-19
529,2015-02-20
530,2015-02-23
531,2015-02-24
532,2015-02-25
533,2015-02-26
534,2015-02-27
535,2015-03-02
536,2015-03-03
537,2015-03-04
538,2015-03-05
539,2015-03-06
540,2015-03-09
541,2015-03-10
542,2015-03-11
543,2015-03-12
544,2015-03-13
545,2015-03-16
546,2015-03-17
547,2015-03-18
548,2015-03-19
549,2015-03-20
550,2015-03-23
551,2015-03-24
552,2015-03-25
553,2015-03-26
554,2015-03-27
555,2015-03-30
556,2015-03-31
557,2015-04-01
558,2015-04-02
559,2015-04-06
560,2015-04-07
561,2015-04-08
562,2015-04-09
563,2015-04-10
564,2015-04-13
565,2015-04-14
566,2015-04-15
567,2015-04-16
568,2015-04-17
569,2015-04-20
570,2015-04-22
571,2015-04-23
572,2015-04-24
573,2015-04-27
574,2015-04-28
575,2015-04-29
576,2015-04-30
577,2015-05-04
578,2015-05-05
579,2015-05-06
580,2015-05-07
581,2015-05-08
582,2015-05-11
583,2015-05-12
584,2015-05-13
585,2015-05-14
586,2015-05-15
587,2015-05-18
588,2015-05-19
589,2015-05-20
590,2015-05-21
591,2015-05-22
592,2015-05-25
593,2015-05-26
594,2015-05-27
595,2015-05-28
596,2015-05-29
597,2015-06-01
598,2015-06-02
599,2015-06-03
600,2015-06-05
601,2015-06-08
602,2015-06-09
603,2015-06-10
604,2015-06-11
605,2015-06-12
606,2015-06-15
607,2015-06-16
608,2015-06-17
609,2015-06-18
610,2015-06-19
611,2015-06-22
612,2015-06-23
613,2015-06-24
614,2015-06-25
615,2015-06-26
616,2015-06-29
617,2015-06-30
618,2015-07-01
619,2015-07-02
620,2015-07-03
621,2015-07-06
622,2015-07-07
623,2015-07-08
624,2015-07-10
625,2015-07-13
626,2015-07-14
627,2015-07-15
628,2015-07-16
629,2015-07-17
630,2015-07-20
631,2015-07-21
632,2015-07-22
633,2015-07-23
634,2015-07-24
635,2015-07-27
636,2015-07-28
637,2015-07-29
638,2015-07-30
639,2015-07-31
640,2015-08-03
641,2015-08-04
642,2015-08-05
643,2015-08-06
644,2015-08-07
645,2015-08-10
646,2015-08-11
647,2015-08-12
648,2015-08-13
649,2015-08-14
650,2015-08-17
651,2015-08-18
652,2015-08-19
653,2015-08-20
654,2015-08-21
655,2015-08-24
656,2015-08-25
657,2015-08-26
658,2015-08-27
659,2015-08-28
660,2015-08-31
661,2015-09-01
662,2015-09-02
663,2015-09-03
664,2015-09-04
665,2015-09-08
666,2015-09-09
667,2015-09-10
668,2015-09-11
669,2015-09-14
670,2015-09-15
671,2015-09-16
672,2015-09-17
673,2015-09-18
674,2015-09-21
675,2015-09-22
676,2015-09-23
677,2015-09-24
678,2015-09-25
679,2015-09-28
680,2015-09-29
681,2015-09-30
682,2015-10-01
683,2015-10-02
684,2015-10-05
685,2015-10-06
