,Data,Cotacoes,Ref
198,2016-07-29,6.099698543548584,7-2016
199,2016-08-31,7.1687235832214355,8-2016
200,2016-09-30,6.995031833648682,9-2016
201,2016-10-31,8.700369834899902,10-2016
202,2016-11-30,10.713647842407227,11-2016
203,2016-12-29,8.539290428161621,12-2016
204,2017-01-31,9.64623737335205,1-2017
205,2017-02-24,10.239241600036621,2-2017
206,2017-03-31,8.610451698303223,3-2017
207,2017-04-28,7.748617172241211,4-2017
208,2017-05-31,7.543039798736572,5-2017
209,2017-06-30,8.128137588500977,6-2017
210,2017-07-31,8.428596496582031,7-2017
211,2017-08-31,9.38648796081543,8-2017
212,2017-09-29,8.744878768920898,9-2017
213,2017-10-31,8.673590660095215,10-2017
214,2017-11-30,8.801641464233398,11-2017
215,2017-12-29,9.834322929382324,12-2017
216,2018-01-31,11.43895435333252,1-2018
217,2018-02-28,13.202462196350098,2-2018
218,2018-03-29,12.335705757141113,3-2018
219,2018-04-30,13.250935554504395,4-2018
220,2018-05-30,11.833747863769531,5-2018
221,2018-06-29,11.122124671936035,6-2018
222,2018-07-31,13.336954116821289,7-2018
223,2018-08-31,12.938794136047363,8-2018
224,2018-09-28,13.866449356079102,9-2018
225,2018-10-31,13.116259574890137,10-2018
226,2018-11-30,12.593720436096191,11-2018
227,2018-12-28,12.056777954101562,12-2018
228,2019-01-31,12.732023239135742,1-2019
229,2019-02-28,12.317115783691406,2-2019
230,2019-03-29,12.399615287780762,3-2019
231,2019-04-30,11.588807106018066,4-2019
232,2019-05-31,11.417654991149902,5-2019
233,2019-06-28,12.512499809265137,6-2019
234,2019-07-31,11.31887435913086,7-2019
235,2019-08-30,10.653277397155762,8-2019
236,2019-09-30,10.893327713012695,9-2019
237,2019-10-31,11.116822242736816,10-2019
238,2019-11-29,14.108860969543457,11-2019
239,2019-12-30,16.59865951538086,12-2019
240,2020-01-31,16.64015769958496,1-2020
241,2020-02-28,14.050766944885254,2-2020
242,2020-03-31,8.355633735656738,3-2020
243,2020-04-30,9.760710716247559,4-2020
244,2020-05-29,11.165785789489746,5-2020
245,2020-06-30,13.310815811157227,6-2020
246,2020-07-31,14.508039474487305,7-2020
247,2020-08-31,15.871546745300293,8-2020
248,2020-09-30,17.293249130249023,9-2020
249,2020-10-30,18.132970809936523,10-2020
250,2020-11-30,18.890487670898438,11-2020
251,2020-12-30,20.580278396606445,12-2020
252,2021-01-29,19.570201873779297,1-2021
253,2021-02-26,21.775531768798828,2-2021
254,2021-03-31,25.555749893188477,3-2021
255,2021-04-30,28.09272003173828,4-2021
256,2021-05-31,28.164527893066406,5-2021
257,2021-06-30,25.332677841186523,6-2021
258,2021-07-30,26.35077476501465,7-2021
259,2021-08-31,24.668075561523438,8-2021
260,2021-09-30,23.945945739746094,9-2021
261,2021-10-29,23.76921844482422,10-2021
262,2021-11-30,24.410680770874023,11-2021
263,2021-12-30,25.79206085205078,12-2021
264,2022-01-31,26.34082794189453,1-2022
265,2022-02-25,24.0889892578125,2-2022
266,2022-03-31,29.354248046875,3-2022
267,2022-04-29,26.648435592651367,4-2022
268,2022-05-31,28.365076065063477,5-2022
269,2022-06-30,21.73326873779297,6-2022
270,2022-07-29,23.785043716430664,7-2022
