,Data,GGBR4,GGBR3,CSNA3
0,2013-01-02,13.93484878540039,11.241101264953613,7.790152072906494
1,2013-01-03,14.252388000488281,11.538375854492188,7.901263236999512
2,2013-01-04,14.030848503112793,11.441587448120117,7.604965686798096
3,2013-01-07,14.208085060119629,11.683558464050293,7.567927837371826
4,2013-01-08,13.92008113861084,11.545291900634766,7.500026702880859
5,2013-01-09,13.661617279052734,11.545291900634766,7.70990514755249
6,2013-01-10,13.565613746643066,11.185792922973633,7.84570837020874
7,2013-01-11,13.403152465820312,11.25493335723877,7.790152072906494
8,2013-01-14,13.41053581237793,11.061355590820312,7.839535713195801
9,2013-01-15,13.233304977416992,11.137402534484863,7.697558403015137
10,2013-01-16,13.211152076721191,10.860870361328125,7.679039478302002
11,2013-01-17,13.366229057312012,11.061355590820312,7.395088195800781
12,2013-01-18,13.218538284301758,10.743341445922852,7.407434940338135
13,2013-01-21,13.218538284301758,10.847042083740234,7.246939659118652
14,2013-01-22,13.218538284301758,10.847042083740234,7.246939659118652
15,2013-01-23,13.29238510131836,10.715686798095703,7.388916492462158
16,2013-01-24,13.063459396362305,10.542852401733398,7.024716854095459
17,2013-01-28,12.627762794494629,10.494461059570312,6.8086676597595215
18,2013-01-29,12.8419189453125,10.715686798095703,6.962989330291748
19,2013-01-30,12.723764419555664,10.584335327148438,6.6728644371032715
20,2013-01-31,12.90099811553955,10.618902206420898,6.635827541351318
21,2013-02-01,12.923151969909668,10.805563926696777,6.882740497589111
22,2013-02-04,12.8049955368042,10.584335327148438,6.685209274291992
23,2013-02-05,12.952689170837402,10.646553993225098,6.716073989868164
24,2013-02-06,12.952689170837402,10.784822463989258,6.777801990509033
25,2013-02-07,12.834534645080566,10.4598970413208,6.666690826416016
26,2013-02-08,12.790228843688965,10.439156532287598,6.530888080596924
27,2013-02-13,13.019147872924805,10.549766540527344,6.549407005310059
28,2013-02-14,12.952689170837402,10.639644622802734,6.555580139160156
29,2013-02-15,12.708996772766113,10.370020866394043,6.5617523193359375
30,2013-02-18,12.332380294799805,10.26632022857666,6.50619649887085
31,2013-02-19,12.096067428588867,10.190272331237793,6.388912200927734
32,2013-02-20,11.593911170959473,9.747820854187012,6.141997337341309
33,2013-02-21,11.918837547302246,9.76164722442627,6.086441993713379
34,2013-02-22,11.970529556274414,9.796213150024414,6.000023365020752
35,2013-02-25,12.007452964782715,9.892998695373535,6.04323148727417
36,2013-02-26,12.406225204467773,10.24557876586914,6.1728620529174805
37,2013-02-27,12.110837936401367,10.190272331237793,6.154344081878662
38,2013-02-28,12.147764205932617,9.989784240722656,6.1728620529174805
39,2013-03-01,11.763758659362793,9.8169527053833,6.000023365020752
40,2013-03-04,11.623451232910156,9.782386779785156,6.049405097961426
41,2013-03-05,11.238960266113281,9.519306182861328,6.141997337341309
42,2013-03-06,11.6899995803833,9.692388534545898,6.481504917144775
43,2013-03-07,11.682602882385254,9.955467224121094,6.555580139160156
44,2013-03-08,11.793514251708984,9.934696197509766,6.567924976348877
45,2013-03-11,11.830484390258789,9.948539733886719,6.4753313064575195
46,2013-03-12,11.571693420410156,9.761616706848145,6.462986946105957
47,2013-03-13,11.445992469787598,9.650845527648926,6.265453815460205
48,2013-03-14,11.460782051086426,9.609306335449219,6.234590530395508
49,2013-03-15,11.238960266113281,9.311612129211426,6.0370588302612305
50,2013-03-18,11.187201499938965,9.256226539611816,6.1296515464782715
51,2013-03-19,10.96537971496582,9.19391918182373,5.728414535522461
52,2013-03-20,11.009745597839355,9.235457420349121,5.814836025238037
53,2013-03-21,10.935803413391113,9.19391918182373,5.629649639129639
54,2013-03-22,11.061502456665039,9.276997566223145,5.740761756896973
55,2013-03-25,10.950592041015625,9.325457572937012,5.59261417388916
56,2013-03-26,11.423810958862305,9.616231918334961,5.6728596687316895
57,2013-03-27,11.36466121673584,9.623154640197754,5.6111321449279785
58,2013-03-28,11.36466121673584,9.64392375946045,5.635822772979736
59,2013-04-01,11.31290054321289,9.595462799072266,5.932120323181152
60,2013-04-02,11.061502456665039,9.408538818359375,5.682624816894531
61,2013-04-03,11.061502456665039,9.48469352722168,5.714729309082031
62,2013-04-04,10.928407669067383,9.276997566223145,5.534939765930176
63,2013-04-05,11.201988220214844,9.450075149536133,5.412940979003906
64,2013-04-08,10.928407669067383,9.214691162109375,5.348730564117432
65,2013-04-09,11.06889820098877,9.304689407348633,5.438624858856201
66,2013-04-10,11.017138481140137,9.332382202148438,5.419361591339111
67,2013-04-11,10.98756217956543,9.173151016235352,5.2588348388671875
68,2013-04-12,10.728772163391113,9.076228141784668,5.252414226531982
69,2013-04-15,10.314702033996582,8.75776195526123,5.0276780128479
70,2013-04-16,10.728772163391113,8.99315071105957,4.931361198425293
71,2013-04-17,10.869257926940918,9.346227645874023,4.944203853607178
72,2013-04-18,11.31290054321289,9.491618156433105,5.021256446838379
73,2013-04-19,11.2833251953125,9.318532943725586,5.040519714355469
74,2013-04-22,11.31290054321289,9.173151016235352,5.04694128036499
75,2013-04-23,11.460782051086426,9.304689407348633,5.117571830749512
76,2013-04-24,11.386838912963867,9.339305877685547,5.175361633300781
77,2013-04-25,11.36466121673584,9.276997566223145,5.04694128036499
78,2013-04-26,11.36466121673584,9.276997566223145,5.04694128036499
79,2013-04-29,11.320296287536621,9.311612129211426,5.04694128036499
80,2013-04-30,11.549508094787598,9.366998672485352,5.079046249389648
81,2013-05-02,11.290717124938965,9.20776653289795,4.995572566986084
82,2013-05-03,11.40902328491211,9.422384262084961,4.982730865478516
