,Data,Adj Close,Meses
0,2000-01-03,260.3116455078125,1
1,2000-01-04,254.3003387451172,1
2,2000-01-05,262.9952697753906,1
3,2000-01-06,271.04608154296875,1
4,2000-01-07,283.3907775878906,1
5,2000-01-10,292.51507568359375,1
6,2000-01-11,288.221435546875,1
7,2000-01-12,292.51507568359375,1
8,2000-01-13,257.6280212402344,1
9,2000-01-14,289.8314514160156,1
10,2000-01-17,290.9049987792969,1
11,2000-01-18,311.30029296875,1
12,2000-01-19,298.95587158203125,1
13,2000-01-20,292.51507568359375,1
14,2000-01-21,292.51507568359375,1
15,2000-01-24,287.2016906738281,1
16,2000-01-25,287.2016906738281,1
17,2000-01-26,279.0432434082031,1
18,2000-01-27,281.7805480957031,1
19,2000-01-28,280.17047119140625,1
20,2000-01-31,268.3624572753906,1
21,2000-02-01,264.6055603027344,2
22,2000-02-02,268.3624572753906,2
23,2000-02-03,274.8032531738281,2
24,2000-02-04,268.3624572753906,2
25,2000-02-07,281.2439880371094,2
26,2000-02-08,289.8314514160156,2
27,2000-02-09,289.8314514160156,2
28,2000-02-10,287.1479187011719,2
29,2000-02-11,278.56024169921875,2
30,2000-02-14,271.04608154296875,2
31,2000-02-15,273.729736328125,2
32,2000-02-16,279.096923828125,2
33,2000-02-17,278.56024169921875,2
34,2000-02-18,277.2183837890625,2
35,2000-02-21,279.6336669921875,2
36,2000-02-22,277.4867858886719,2
37,2000-02-23,277.4867858886719,2
38,2000-02-24,271.04608154296875,2
39,2000-02-25,269.97259521484375,2
40,2000-02-28,262.9952697753906,2
41,2000-02-29,263.6393127441406,2
42,2000-03-01,261.9217834472656,3
43,2000-03-02,261.6534729003906,3
44,2000-03-03,260.3116455078125,3
45,2000-03-06,260.3116455078125,3
46,2000-03-07,260.3116455078125,3
47,2000-03-08,260.3116455078125,3
48,2000-03-09,260.0432434082031,3
49,2000-03-10,260.3116455078125,3
50,2000-03-13,260.3116455078125,3
51,2000-03-14,252.15353393554688,3
52,2000-03-15,245.8200225830078,3
53,2000-03-16,252.26068115234375,3
54,2000-03-17,244.20985412597656,3
55,2000-03-20,244.20985412597656,3
56,2000-03-21,241.52627563476562,3
57,2000-03-22,244.7465057373047,3
58,2000-03-23,252.2069854736328,3
59,2000-03-24,253.3341827392578,3
60,2000-03-27,252.26068115234375,3
61,2000-03-28,246.3031005859375,3
62,2000-03-29,247.9668731689453,3
63,2000-03-30,246.89349365234375,3
64,2000-03-31,244.20985412597656,3
65,2000-04-03,233.47531127929688,4
66,2000-04-04,236.1053924560547,4
67,2000-04-05,236.15895080566406,4
68,2000-04-06,240.45285034179688,4
69,2000-04-07,241.52627563476562,4
70,2000-04-10,238.8425750732422,4
71,2000-04-11,236.69566345214844,4
72,2000-04-12,236.15895080566406,4
73,2000-04-13,225.42445373535156,4
74,2000-04-14,213.07984924316406,4
75,2000-04-17,209.32273864746094,4
76,2000-04-18,218.9837188720703,4
77,2000-04-19,214.85101318359375,4
78,2000-04-20,228.10812377929688,4
79,2000-04-21,228.10812377929688,4
80,2000-04-24,225.42445373535156,4
81,2000-04-25,232.40199279785156,4
82,2000-04-26,232.3482208251953,4
83,2000-04-27,236.15895080566406,4
84,2000-04-28,234.0120391845703,4
85,2000-05-01,234.0120391845703,5
86,2000-05-02,1.3716305494308472,5
87,2000-05-03,1.3239212036132812,5
88,2000-05-04,1.335848331451416,5
89,2000-05-05,1.3597033023834229,5
90,2000-05-08,1.335848331451416,5
91,2000-05-09,1.2881395816802979,5
92,2000-05-10,1.240431308746338,5
93,2000-05-11,1.2523577213287354,5
94,2000-05-12,1.216576099395752,5
95,2000-05-15,1.216576099395752,5
96,2000-05-16,1.2285031080245972,5
97,2000-05-17,1.2046488523483276,5
98,2000-05-18,1.1330854892730713,5
99,2000-05-19,1.097304105758667,5
100,2000-05-22,1.0734502077102661,5
101,2000-05-23,1.0257413387298584,5
102,2000-05-24,1.0138137340545654,5
103,2000-05-25,1.037667989730835,5
104,2000-05-26,1.097304105758667,5
105,2000-05-29,1.121158242225647,5
106,2000-05-30,1.1927220821380615,5
107,2000-05-31,1.2523577213287354,5
108,2000-06-01,1.300066590309143,6
109,2000-06-02,1.2881395816802979,6
110,2000-06-05,1.300066590309143,6
111,2000-06-07,1.3239212036132812,6
112,2000-06-08,1.3239212036132812,6
113,2000-06-09,1.3119944334030151,6
114,2000-06-12,1.2762126922607422,6
115,2000-06-13,1.2642853260040283,6
116,2000-06-14,1.2523577213287354,6
117,2000-06-15,1.1807950735092163,6
118,2000-06-16,1.1688668727874756,6
119,2000-06-19,1.1450128555297852,6
120,2000-06-20,1.1688668727874756,6
121,2000-06-21,1.2642853260040283,6
122,2000-06-23,1.2523577213287354,6
123,2000-06-26,1.2285031080245972,6
124,2000-06-27,1.264304280281067,6
125,2000-06-28,1.3358689546585083,6
126,2000-06-29,1.3239413499832153,6
127,2000-06-30,1.3120139837265015,6
128,2000-07-03,1.3120139837265015,7
129,2000-07-04,1.371651530265808,7
130,2000-07-05,1.3955063819885254,7
131,2000-07-06,1.4312878847122192,7
132,2000-07-07,1.4551433324813843,7
133,2000-07-10,1.4670708179473877,7
134,2000-07-11,1.4074338674545288,7
135,2000-07-12,1.3835783004760742,7
136,2000-07-13,1.3835783004760742,7
137,2000-07-14,1.3835783004760742,7
138,2000-07-17,1.3955063819885254,7
139,2000-07-18,1.4193612337112427,7
140,2000-07-19,1.4074338674545288,7
141,2000-07-20,1.371651530265808,7
