,Data,GGBR4.SA,GGBR3.SA,VALE3.SA,USIM5.SA,CSNA3.SA
0,2000-01-03,260.3115234375,0.1880950778722763,1.7074944972991943,1.5827369689941406,2.0796446800231934
1,2000-01-04,254.3002471923828,0.1880950778722763,1.666839361190796,1.525032877922058,2.1095681190490723
2,2000-01-05,262.99517822265625,0.1880950778722763,1.666839361190796,1.6701172590255737,2.2228479385375977
3,2000-01-06,271.0459899902344,0.1880950778722763,1.666839361190796,1.821796178817749,2.323303461074829
4,2000-01-07,283.390869140625,0.1880950778722763,1.727821707725525,1.8943380117416382,2.308342933654785
5,2000-01-10,292.51507568359375,0.1880950778722763,1.8701130151748657,2.090531587600708,2.336127281188965
6,2000-01-11,288.22125244140625,0.20063486695289612,1.8741780519485474,1.9784207344055176,2.2378101348876953
7,2000-01-12,292.51507568359375,0.20063486695289612,1.8924721479415894,1.8811488151550293,2.1373534202575684
8,2000-01-13,257.6280212402344,0.20063486695289612,1.9554874897003174,1.813552737236023,1.9385796785354614
9,2000-01-14,289.8314208984375,0.20063486695289612,1.9920762777328491,1.8465261459350586,1.880871295928955
10,2000-01-17,290.90484619140625,0.20063486695289612,2.0327308177948,1.8580671548843384,1.9984256029129028
11,2000-01-18,311.3003845214844,0.21944427490234375,1.971749186515808,1.7805798053741455,1.9642279148101807
12,2000-01-19,298.955810546875,0.21944427490234375,1.9636188745498657,1.7558485269546509,1.908657193183899
13,2000-01-20,292.51507568359375,0.21944427490234375,1.951422095298767,1.8630130290985107,1.8530858755111694
14,2000-01-21,292.51507568359375,0.21944427490234375,1.9107674360275269,1.8465261459350586,1.7248444557189941
15,2000-01-24,287.2015380859375,0.21944427490234375,1.951422095298767,1.830039143562317,1.7675917148590088
16,2000-01-25,287.2015380859375,0.21944427490234375,1.951422095298767,1.830039143562317,1.7526301145553589
17,2000-01-26,279.0434875488281,0.21944427490234375,1.9351600408554077,1.8448773622512817,1.7248444557189941
18,2000-01-27,281.780517578125,0.21944427490234375,1.951422095298767,1.7970658540725708,1.7098829746246338
19,2000-01-28,280.1704406738281,0.21944427490234375,1.951422095298767,1.7476050853729248,1.6671358346939087
20,2000-01-31,268.36248779296875,0.23198407888412476,1.951422095298767,1.731118083000183,1.6094274520874023
21,2000-02-01,264.60528564453125,0.21944427490234375,1.9107674360275269,1.764091968536377,1.5666800737380981
22,2000-02-02,268.36248779296875,0.21944427490234375,1.8294583559036255,1.764091968536377,1.6521748304367065
23,2000-02-03,274.8031005859375,0.21944427490234375,1.8294583559036255,1.764091968536377,1.692784070968628
24,2000-02-04,268.36248779296875,0.21944427490234375,1.8985707759857178,1.8382829427719116,1.6863723993301392
25,2000-02-07,281.243896484375,0.23825378715991974,1.9920762777328491,1.821796178817749,1.690647006034851
26,2000-02-08,289.8314208984375,0.23825378715991974,2.107942581176758,1.8630130290985107,1.6500369310379028
27,2000-02-09,289.8314208984375,0.23825378715991974,2.0733864307403564,1.830039143562317,1.6521748304367065
28,2000-02-10,287.1477966308594,0.23825378715991974,1.951422095298767,1.813552737236023,1.6072899103164673
29,2000-02-11,278.56024169921875,0.23825378715991974,1.8493787050247192,1.7146319150924683,1.5538558959960938
30,2000-02-14,271.0459899902344,0.23198407888412476,1.8253923654556274,1.6486843824386597,1.538894772529602
31,2000-02-15,273.7296447753906,0.23198407888412476,1.8701130151748657,1.6321977376937866,1.5688177347183228
32,2000-02-16,279.0970764160156,0.23198407888412476,1.8701130151748657,1.6734142303466797,1.6243889331817627
33,2000-02-17,278.56024169921875,0.23198407888412476,1.8294583559036255,1.7212263345718384,1.596603512763977
34,2000-02-18,277.218505859375,0.23198407888412476,1.8294583559036255,1.6486843824386597,1.617976427078247
35,2000-02-21,279.6336669921875,0.23198407888412476,1.8294583559036255,1.6734142303466797,1.6222516298294067
36,2000-02-22,277.4868469238281,0.23198407888412476,1.788803219795227,1.6404410600662231,1.5666800737380981
37,2000-02-23,277.4868469238281,0.23198407888412476,1.8294583559036255,1.6321977376937866,1.5752294063568115
38,2000-02-24,271.0459899902344,0.23198407888412476,1.8091307878494263,1.647036075592041,1.538894772529602
39,2000-02-25,269.97271728515625,0.23198407888412476,1.788803219795227,1.5662500858306885,1.5666800737380981
40,2000-02-28,262.99517822265625,0.23198407888412476,1.7481492757797241,1.558006763458252,1.5666800737380981
41,2000-02-29,263.6393737792969,0.2131744772195816,1.6587088108062744,1.5662500858306885,1.6008776426315308
42,2000-03-01,261.92181396484375,0.21944427490234375,1.666839361190796,1.5481141805648804,1.6051522493362427
43,2000-03-02,261.65338134765625,0.21944427490234375,1.6253716945648193,1.4590851068496704,1.7098829746246338
44,2000-03-03,260.3115234375,0.21944427490234375,1.6054511070251465,1.5167895555496216,1.6094274520874023
45,2000-03-06,260.3115234375,0.21944427490234375,1.6054511070251465,1.5167895555496216,1.583779215812683
46,2000-03-07,260.3115234375,0.21944427490234375,1.6054511070251465,1.5167895555496216,1.5645432472229004
47,2000-03-08,260.3115234375,0.2131744772195816,1.6143947839736938,1.5167895555496216,1.5666800737380981
48,2000-03-09,260.0431823730469,0.2131744772195816,1.5814650058746338,1.5794389247894287,1.5666800737380981
49,2000-03-10,260.3115234375,0.2131744772195816,1.5448755025863647,1.525032877922058,1.545306921005249
50,2000-03-13,260.3115234375,0.2131744772195816,1.5448755025863647,1.467328429222107,1.5666800737380981
51,2000-03-14,252.15345764160156,0.2131744772195816,1.463566780090332,1.450842022895813,1.5666800737380981
52,2000-03-15,245.82005310058594,0.2131744772195816,1.463566780090332,1.4590851068496704,1.5538558959960938
