,* Puxei aqui os dados apenas para as datas com intersecção,,,,,,
,Data,Vale,Gerdau Pref,Gerdau Met Pref,CSN,Usiminas,Selic
7-2005,7/29/2005,9.572943687,5.025575161,4.117194176,3.830138683,7.051423073,1.51
8-2005,8/31/2005,9.891270638,5.857894897,4.568622112,3.960944176,8.05547142,1.66
9-2005,9/30/2005,12.07442379,6.867379665,5.47565794,4.42603159,8.55667305,1.5
10-2005,10/31/2005,11.36337376,6.266203403,4.900922775,3.697622776,7.499865055,1.41
11-2005,11/30/2005,11.67194557,6.820181847,5.452669621,3.932730913,8.523695946,1.38
12-2005,12/29/2005,11.64754868,8.17673111,6.202959061,4.300356388,9.166685104,1.47
1-2006,1/31/2006,13.80509186,9.986841202,7.856107235,5.556265831,11.92163467,1.43
3-2006,3/31/2006,12.87938499,10.20287418,7.941795349,5.817878246,13.23069191,1.42
4-2006,4/28/2006,13.05257225,11.35542011,8.715073586,6.266721725,13.10704041,1.08
5-2006,5/31/2006,12.85499287,9.962716103,8.335749626,5.830700397,12.44756794,1.28
6-2006,6/30/2006,12.7525444,10.27077484,8.103765488,5.941843987,12.80203247,1.18
7-2006,7/31/2006,12.33054924,10.82972431,8.680588722,5.95894289,12.36513233,1.17
8-2006,8/31/2006,11.22067642,10.02120304,8.012852669,5.351933002,11.08245564,1.26
9-2006,9/29/2006,11.42801476,9.526882172,7.711901665,5.300638199,10.71644783,1.06
10-2006,10/31/2006,13.20868683,10.15601444,8.338886261,5.685361385,12.00241947,1.09
11-2006,11/30/2006,14.56736755,10.9891901,8.874956131,5.531472206,12.06012726,1.02
12-2006,12/28/2006,15.53819656,11.32327366,9.765269279,5.514373302,13.27190876,0.99
1-2007,1/31/2007,17.34326744,11.61195374,9.498805046,5.889691353,13.22245121,1.08
2-2007,2/28/2007,17.68720245,11.84941101,9.548960686,6.335118294,14.57602024,0.87
3-2007,3/30/2007,18.61168861,12.27154732,10.15714073,7.596155167,16.45057106,1.05
4-2007,4/30/2007,20.48993683,13.57724094,10.78412533,7.608979702,15.90980625,0.94
