,Data,GGBR4,GGBR3,CSNA3
0,2013-01-02,13.934846878051758,11.24110221862793,7.790151119232178
1,2013-01-03,14.252388954162598,11.538376808166504,7.9012651443481445
2,2013-01-04,14.030852317810059,11.441590309143066,7.604965686798096
3,2013-01-07,14.208083152770996,11.683558464050293,7.567929267883301
4,2013-01-08,13.920080184936523,11.545289993286133,7.500026702880859
5,2013-01-09,13.661617279052734,11.545289993286133,7.70990514755249
6,2013-01-10,13.565613746643066,11.185797691345215,7.84570837020874
7,2013-01-11,13.403153419494629,11.254929542541504,7.790151119232178
8,2013-01-14,13.410541534423828,11.061355590820312,7.839534759521484
9,2013-01-15,13.233304977416992,11.13740348815918,7.697559833526611
10,2013-01-16,13.21115779876709,10.860868453979492,7.67903995513916
11,2013-01-17,13.366227149963379,11.061355590820312,7.395088195800781
12,2013-01-18,13.218534469604492,10.743341445922852,7.407435417175293
13,2013-01-21,13.218534469604492,10.84704303741455,7.2469401359558105
14,2013-01-22,13.218534469604492,10.84704303741455,7.2469401359558105
15,2013-01-23,13.292384147644043,10.715686798095703,7.388915061950684
16,2013-01-24,13.063460350036621,10.542858123779297,7.024717330932617
17,2013-01-28,12.627767562866211,10.494460105895996,6.808666229248047
18,2013-01-29,12.841917991638184,10.715686798095703,6.962988376617432
19,2013-01-30,12.723766326904297,10.584336280822754,6.672865390777588
20,2013-01-31,12.900997161865234,10.618898391723633,6.635826110839844
21,2013-02-01,12.923151969909668,10.805559158325195,6.882741928100586
22,2013-02-04,12.804993629455566,10.584336280822754,6.68520975112915
23,2013-02-05,12.952690124511719,10.646554946899414,6.716073989868164
24,2013-02-06,12.952690124511719,10.784822463989258,6.777801990509033
25,2013-02-07,12.834534645080566,10.459896087646484,6.666691780090332
26,2013-02-08,12.790229797363281,10.439155578613281,6.530888080596924
27,2013-02-13,13.019150733947754,10.549769401550293,6.5494065284729
28,2013-02-14,12.952690124511719,10.639642715454102,6.555579662322998
29,2013-02-15,12.708996772766113,10.370019912719727,6.561753273010254
30,2013-02-18,12.332379341125488,10.266322135925293,6.50619649887085
31,2013-02-19,12.096067428588867,10.190271377563477,6.388912200927734
32,2013-02-20,11.593915939331055,9.747817993164062,6.141998291015625
33,2013-02-21,11.918834686279297,9.761646270751953,6.086441993713379
34,2013-02-22,11.97053050994873,9.796212196350098,6.000020980834961
35,2013-02-25,12.007453918457031,9.893001556396484,6.043231010437012
36,2013-02-26,12.406222343444824,10.245579719543457,6.1728620529174805
37,2013-02-27,12.11083984375,10.190271377563477,6.154343605041504
38,2013-02-28,12.147762298583984,9.989786148071289,6.1728620529174805
39,2013-03-01,11.763760566711426,9.816954612731934,6.000020980834961
40,2013-03-04,11.623451232910156,9.782390594482422,6.049404144287109
41,2013-03-05,11.238961219787598,9.519309997558594,6.141998291015625
42,2013-03-06,11.689997673034668,9.692383766174316,6.481504440307617
43,2013-03-07,11.682602882385254,9.955466270446777,6.555579662322998
44,2013-03-08,11.7935152053833,9.934694290161133,6.567925930023193
45,2013-03-11,11.830484390258789,9.948541641235352,6.475332260131836
46,2013-03-12,11.57169246673584,9.761615753173828,6.462986946105957
47,2013-03-13,11.445990562438965,9.65084457397461,6.2654547691345215
48,2013-03-14,11.46078109741211,9.609306335449219,6.234591484069824
49,2013-03-15,11.238961219787598,9.311614990234375,6.037059307098389
50,2013-03-18,11.187201499938965,9.256226539611816,6.129652500152588
51,2013-03-19,10.965381622314453,9.193921089172363,5.7284159660339355
52,2013-03-20,11.009746551513672,9.235458374023438,5.8148369789123535
53,2013-03-21,10.935803413391113,9.193921089172363,5.6296491622924805
54,2013-03-22,11.061503410339355,9.276998519897461,5.740761756896973
55,2013-03-25,10.950589179992676,9.325459480285645,5.592612266540527
56,2013-03-26,11.423811912536621,9.616230010986328,5.6728596687316895
57,2013-03-27,11.36466121673584,9.623154640197754,5.61113166809082
58,2013-03-28,11.36466121673584,9.643922805786133,5.635824203491211
59,2013-04-01,11.31290054321289,9.595459938049316,5.932120323181152
60,2013-04-02,11.061503410339355,9.408538818359375,5.682623863220215
61,2013-04-03,11.061503410339355,9.484691619873047,5.714728832244873
62,2013-04-04,10.9284086227417,9.276998519897461,5.534940719604492
63,2013-04-05,11.201990127563477,9.450075149536133,5.412940502166748
64,2013-04-08,10.9284086227417,9.214689254760742,5.348730087280273
65,2013-04-09,11.068897247314453,9.30469036102295,5.438624382019043
66,2013-04-10,11.017138481140137,9.332382202148438,5.4193620681762695
67,2013-04-11,10.987563133239746,9.173151969909668,5.2588348388671875
68,2013-04-12,10.728769302368164,9.076226234436035,5.252414226531982
69,2013-04-15,10.314702033996582,8.757765769958496,5.027678489685059
70,2013-04-16,10.728769302368164,8.993148803710938,4.931361675262451
71,2013-04-17,10.869260787963867,9.34622859954834,4.944203853607178
72,2013-04-18,11.31290054321289,9.491615295410156,5.021257400512695
73,2013-04-19,11.283323287963867,9.318536758422852,5.040520191192627
74,2013-04-22,11.31290054321289,9.173151969909668,5.046940803527832
75,2013-04-23,11.46078109741211,9.30469036102295,5.117570877075195
76,2013-04-24,11.386839866638184,9.33930778503418,5.1753621101379395
77,2013-04-25,11.36466121673584,9.276998519897461,5.046940803527832
78,2013-04-26,11.36466121673584,9.276998519897461,5.046940803527832
79,2013-04-29,11.320293426513672,9.311614990234375,5.046940803527832
80,2013-04-30,11.549511909484863,9.366995811462402,5.079046249389648
81,2013-05-02,11.290717124938965,9.207765579223633,4.995572090148926
82,2013-05-03,11.40902328491211,9.422384262084961,4.982730865478516
