,Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
0,2016-01-04,3.5732421875,2.490758180618286,8.448509216308594,1.2406511306762695,3.0011892318725586,22.68397331237793
1,2016-01-05,3.4079601764678955,2.3860416412353516,8.335330963134766,1.1386796236038208,2.8534624576568604,22.68397331237793
2,2016-01-06,3.1324901580810547,2.1691291332244873,7.722830295562744,1.0367083549499512,2.6279842853546143,22.68397331237793
3,2016-01-07,2.990819215774536,2.1018106937408447,7.263455390930176,0.9772252440452576,2.5657835006713867,22.68397331237793
4,2016-01-08,3.093137264251709,2.1167705059051514,7.017123699188232,1.0027178525924683,2.6590845584869385,22.68397331237793
5,2016-01-11,2.9750781059265137,2.1242501735687256,6.817394256591797,1.019713282585144,2.620209217071533,22.68397331237793
6,2016-01-12,2.888502359390259,2.0943310260772705,6.264813423156738,0.9772252440452576,2.5502331256866455,22.68397331237793
7,2016-01-13,2.6996078491210938,2.0045745372772217,5.991849899291992,0.8752537965774536,2.488032579421997,22.68397331237793
8,2016-01-14,2.7783138751983643,2.0045745372772217,6.424596309661865,0.883751392364502,2.5657835006713867,22.68397331237793
9,2016-01-15,2.7153491973876953,1.9073373079299927,6.23818302154541,0.8157705664634705,2.464707374572754,22.68397331237793
10,2016-01-18,2.7704432010650635,1.9297765493392944,5.9186177253723145,0.8667561411857605,2.488032579421997,22.68397331237793
11,2016-01-19,2.7074787616729736,1.974655270576477,6.111687660217285,0.8582586050033569,2.5502331256866455,22.68397331237793
12,2016-01-20,2.6759965419769287,1.854979157447815,6.1316609382629395,0.8667561411857605,2.50358247756958,22.68397331237793
13,2016-01-21,2.605161190032959,1.899857521057129,6.085057735443115,0.8327656984329224,2.5813331604003906,22.68397331237793
14,2016-01-22,2.613032102584839,1.88489830493927,6.0118231773376465,0.8497609496116638,2.6824100017547607,20.31443977355957
15,2016-01-26,2.581549644470215,1.869938611984253,5.958562850952148,0.8242682218551636,2.6590845584869385,20.31443977355957
16,2016-01-27,2.6445140838623047,1.899857521057129,6.264813423156738,0.7647849321365356,2.705735206604004,20.31443977355957
17,2016-01-28,2.6838669776916504,1.88489830493927,6.211552619934082,0.7307944297790527,2.6824100017547607,20.31443977355957
18,2016-01-29,2.8334078788757324,1.9447362422943115,6.471199035644531,0.722296953201294,2.7601611614227295,20.31443977355957
19,2016-02-01,2.990819215774536,2.0943310260772705,6.324732303619385,0.8157705664634705,2.9156627655029297,20.31443977355957
20,2016-02-02,2.9514665603637695,2.1317298412323,5.725546836853027,0.7987753748893738,2.931213617324829,20.31443977355957
21,2016-02-03,2.9278550148010254,2.161648988723755,5.998508930206299,0.8157705664634705,2.946763515472412,20.31443977355957
22,2016-02-04,3.2348077297210693,2.393521308898926,6.883971691131592,0.8667561411857605,3.2344419956207275,20.31443977355957
23,2016-02-05,3.2899012565612793,2.453359365463257,6.810737133026123,0.8582586050033569,3.4054946899414062,20.31443977355957
24,2016-02-10,3.3135135173797607,2.460839033126831,6.790764808654785,0.8242682218551636,3.382169485092163,20.31443977355957
25,2016-02-11,2.9278550148010254,2.1242501735687256,6.571063995361328,0.722296953201294,3.0167393684387207,20.31443977355957
26,2016-02-12,2.9514665603637695,2.1840884685516357,6.824052810668945,0.722296953201294,3.1255905628204346,20.31443977355957
27,2016-02-15,2.9829490184783936,2.2065279483795166,6.99714994430542,0.7647849321365356,3.187791585922241,20.31443977355957
28,2016-02-16,3.2269368171691895,2.3037643432617188,7.516444683074951,0.8327656984329224,3.4443695545196533,20.31443977355957
29,2016-02-17,3.321382999420166,2.393521308898926,7.929215908050537,0.8497609496116638,3.5376718044281006,20.31443977355957
30,2016-02-18,3.2190663814544678,2.281324863433838,7.662912845611572,0.7392920851707458,3.5687713623046875,20.31443977355957
31,2016-02-19,3.2190663814544678,2.348642587661743,7.8759541511535645,0.7477896213531494,3.5998716354370117,20.31443977355957
32,2016-02-22,3.2505486011505127,2.341162919998169,8.748103141784668,0.773282527923584,3.9808521270751953,20.31443977355957
33,2016-02-23,3.061654806137085,2.2364466190338135,8.2421236038208,0.7902777194976807,4.058602809906006,20.31443977355957
34,2016-02-24,2.967207670211792,2.2065279483795166,7.796064376831055,0.773282527923584,4.066377639770508,20.31443977355957
35,2016-02-25,2.8255374431610107,2.0569326877593994,7.3366899490356445,0.7817801237106323,4.058602809906006,20.31443977355957
36,2016-02-26,2.7468318939208984,2.019533634185791,7.323373317718506,0.7562873363494873,3.8875505924224854,20.31443977355957
37,2016-02-29,2.7783138751983643,2.0644123554229736,7.862640380859375,0.7647849321365356,4.043052673339844,20.31443977355957
38,2016-03-01,2.8334078788757324,2.0644123554229736,8.528401374816895,0.773282527923584,4.198554039001465,20.31443977355957
39,2016-03-02,2.9514665603637695,2.1691291332244873,9.467124938964844,0.7987753748893738,4.392932415008545,20.31443977355957
40,2016-03-03,3.179713487625122,2.3187239170074463,10.399190902709961,1.0791963338851929,5.053815841674805,20.31443977355957
41,2016-03-04,3.6913018226623535,2.685231924057007,11.01834774017334,1.1556751728057861,5.877976417541504,20.31443977355957
42,2016-03-07,3.8959362506866455,2.7675087451934814,11.704081535339355,1.2406511306762695,6.3989081382751465,20.31443977355957
43,2016-03-08,3.7936196327209473,2.7600295543670654,10.006391525268555,1.3171294927597046,5.528097629547119,20.31443977355957
44,2016-03-09,3.8565833568573,2.7974278926849365,9.65353775024414,1.631541132926941,5.302618980407715,20.31443977355957
